,AphiaID
Balanophyllia (Eupsammia) pittieri,510035
Balanophyllia (Balanophyllia) wellsi,286954
Balanophyllia (Balanophyllia) dineta,286917
Thalamophyllia gombergi,286867
Balanophyllia (Balanophyllia) hadros,286928
Desmophyllum striatum,286811
Trochocyathus (Trochocyathus) fossulus,286881
Stephanocyathus (Stephanocyathus) laevifundus,286855
Deltocyathus pourtalesi,286803
Polymyces wellsi,290839
Bathypsammia fallosocialis,289502
Flabellum (Flabellum) atlanticum,287002
Thecopsammia socialis,291210
Deltocyathus italicus,135156
Phacelocyathus flos,290728
Goniocorella dumosa,290021
Eguchipsammia strigosa,286986
Caryophyllia (Caryophyllia) horologium,286746
Flabellum (Ulocyathus) moseleyi,287019
Coenocyathus parvulus,286785
Bathypsammia tintinnabulum,289503
Trochocyathus (Trochocyathus) fasciatus,286880
Flabellum (Flabellum) floridanum,287008
Stephanocyathus (Stephanocyathus) paliferus,286856
Heterocyathus alternatus,288862
Caryophyllia (Caryophyllia) antillarum,286727
Leptopenus antarcticus,173390
Cryptotrochus carolinensis,289751
Stephanocyathus (Stephanocyathus) diadema,286852
Leptopsammia chevalieri,286989
Tethocyathus variabilis,135173
Deltocyathus eccentricus,135155
Deltocyathus moseleyi,135157
Phyllangia papuensis,287746
Madrepora minutiseptum,287094
Madracis brueggemanni,287105
Placotrochides frustum,135201
Madracis pharensis,135212
Madrepora arbuscula,-999
Madracis asperula,135211
Caryophyllia (Caryophyllia) polygona,286759
Polycyathus octuplus,286844
Pourtalosmilia anthophyllites,135166
Anomocora prolifera,286719
Premocyathus dentiformis,286850
Caryophyllia (Caryophyllia) smithii,135144
Oxysmilia rotundifolia,290565
Cladopsammia manuelensis,286959
Tethocyathus cylindraceus,286861
Sphenotrochus (Eusthenotrochus) auritus,287131
Coenosmilia arbuscula,135150
Flabellum (Flabellum) knoxi,287012
Sphenotrochus (Sphenotrochus) lindstroemi,287139
Tethocyathus recurvatus,286865
Eguchipsammia cornucopia,135188
Guynia annulata,135206
Anomocora fecunda,135130
Pourtalosmilia conferta,286849
Anomocora marchadi,286718
Dendrophyllia alternata,135184
Deltocyathus agassizi,286789
Balanophyllia (Balanophyllia) palifera,286936
Balanophyllia (Balanophyllia) cyathoides,286913
Polycyathus mayae,286842
Sphenotrochus (Sphenotrochus) andrewianus moorei,422758
Rhizosmilia maculata,290974
Deltocyathoides stimpsonii,135215
Tethocyathus prahli,286864
Trematotrochus corbicula,291231
Caryophyllia (Caryophyllia) crypta,286737
Conotrochus brunneus,289705
Flabellum (Ulocyathus) marcus,287016
Caryophyllia (Caryophyllia) arnoldi,286728
Coenocyathus bowersi,286780
Balanophyllia (Balanophyllia) elegans,286920
Guyniidae,135077
Caryophyllia (Caryophyllia) alaskensis,286724
Heterocyathus sulcatus,288865
Cladopsammia echinata,286956
Javania pseudoalabastra,135199
Dendrophyllia oldroydae,286978
Cladocora arbuscula,286778
Balanophyllia (Eupsammia) carinata,286907
Balanophyllia (Balanophyllia) thalassae,135182
Trochopsammia infundibulum,291246
Caryophyllia (Caryophyllia) sarsiae,135142
Caryophyllia (Caryophyllia) corrugata,286735
Caryophyllia (Caryophyllia) zopyros,286776
Caryophyllia (Caryophyllia) paucipalata,286755
Coenocyathus anthophyllites,135148
Balanophyllia (Eupsammia) imperialis,286929
Balanophyllia (Eupsammia) stimpsonii,286947
Coenocyathus brooki,286781
Cladopsammia eguchii,286957
Bathycyathus chilensis,289499
Caryophyllia (Caryophyllia) calveri,135137
Anomocora gigas,286716
Bathelia candida,-999
Thalamophyllia tenuescens,286869
Rhizosmilia multipalifera,290975
Rhizopsammia annae,289175
Rhizosmilia robusta,290976
Caryophyllia (Caryophyllia) profunda,173023
Caryophyllia (Caryophyllia) quadragenaria,286760
Stephanocyathus (Odontocyathus) campaniformis,135169
Stephanocyathus (Acinocyathus) spiniger,286859
Sphenotrochus (Sphenotrochus) gardineri,287135
Caryophyllia (Caryophyllia) ralphae,286762
Stephanocyathus (Acinocyathus) explanans,286853
Tethocyathus virgatus,286866
Stephanocyathus (Odontocyathus) nobilis,135172
Stephanocyathus (Stephanocyathus) moseleyanus,135171
Stephanocyathus (Odontocyathus) weberianus,286860
Stephanocyathus (Stephanocyathus) crassus,135170
Stephanocyathus (Stephanocyathus) regius,286858
Tethocyathus endesa,286862
Caryophyllia (Caryophyllia) seguenzae,135143
Caryophyllia (Caryophyllia) grandis,286743
Stephanocyathus (Stephanocyathus) platypus,286857
Rhizopsammia verrilli,210737
Sympodangia albatrossi,291157
Anthemiphyllia macrolobata,289414
Caryophyllia (Caryophyllia) solida,286767
Caryophyllia (Caryophyllia) squiresi,286770
Caryophyllia (Caryophyllia) stellula,286771
Caryophyllia (Caryophyllia) transversalis,286772
Caryophyllia (Caryophyllia) valdiviae,286774
Caryophyllia (Caryophyllia) versicolorata,504175
Conotrochus funicolumna,289706
Caryophyllia (Caryophyllia) cyathus,135138
Labyrinthocyathus delicatus,290264
Crispatotrochus curvatus,289736
Rhizopsammia goesi,289178
Crispatotrochus rugosus,289744
Crispatotrochus rubescens,289743
Lochmaeotrochus gardineri,290316
Deltocyathus ornatus,286800
Caryophyllia (Caryophyllia) hawaiiensis,286745
Bourneotrochus stellulatus,289532
Crispatotrochus foxi,289737
Dendrophyllia californica,286965
Fungiacyathus (Bathyactis) hydra,287077
Paracyathus stearnsii,286830
