,AphiaID
Parastenella gymnogaster,409580
Hypnogorgia pendula,290166
Parastenella pacifica,409581
Calyptrophora antilla,287650
Anthomuricea tenuispina,289430
Chrysogorgia multiflora,286130
Thesea hebes,286435
Nicella americana,286164
Thouarella (Thouarella) bipinnata,286553
Distichogorgia sconsa,177825
Convexella jungerseni,289708
Acanthogorgia angustiflora,286040
Primnoella delicatissima,286543
Calyptrophora pileata,883729
Narella spectabilis,286531
Keroeididae,196168
Paramuricea multispina,286382
Muriceides hirta,418852
Briareidae,266946
Keroeides pallida,517725
Calcigorgia spiculifera,378316
Muricea elongata,287559
Paracalyptrophora simplex,286537
Placogorgia tribuloides,418853
Plexaura nina,290802
Thesea antiope,286423
Pseudopterogorgia hystrix,290899
Muriceopsis petila,290418
Pseudoplexaura porosa,290881
Acanthogorgia hirta,286061
Thelogorgia vossi,291215
Spinimuricea atlantica,125397
Sibogagorgia cauliflora,517784
Thouarella (Epithouarella) chilensis,286556
Bayergorgia vermidoma,472851
Callogorgia elegans,286485
Convexella magelhaenica,289710
Leptogorgia setacea,158286
Narella leilae,286523
Thelogorgia stellata,291213
Narella irregularis,286521
Digitogorgia kuekenthali,517702
Narella megalepis,286524
Tauroprimnoa austasensis,585229
Placogorgia intermedia,125394
Thouarella (Thouarella) variabilis,286574
Thouarella (Thouarella) antarctica,173547
Thouarella (Epithouarella) crenelata,286558
Thouarella (Thouarella) minuta,716941
Thouarella (Thouarella) koellikeri,286563
Thouarella (Thouarella) sardana,743431
Callogorgia arawak,832291
Eunicella pillsbury,286201
Calyptrophora clarki,287651
Acanthogorgiidae,125272
Ainigmaptilon edisto,289369
Acanthogorgia flabellum,286052
Heptaprimnoa patagonica,710878
Acanthogorgia incrustata,286064
Ainigmaptilon haswelli,289370
Ainigmaptilon antarcticum,289368
Ellisellidae,125274
Aglaoprimnoa stefanii,173407
Acanthogorgia media,286071
Acanthogorgia inermis,286065
Muricea atlantica,287554
Acanthogorgia muricata,286074
Thouarella (Thouarella) hicksoni,286562
Thouarella (Epithouarella) viridis,578627
Thouarella (Thouarella) clavata,286557
Thouarella (Thouarella) andeep,517838
Thouarella (Euthouarella) longispinosa,173553
Chrysogorgia calypso,286104
Thouarella (Thouarella) brucei,286554
Chrysogorgia antarctica,286100
Chrysogorgia fruticosa,286121
Swiftia kofoidi,286417
Chrysogorgia flexilis,286120
Acanthogorgia ceylonensis,286049
Chrysogorgia scintillans,286143
Chrysogorgia papillosa,286134
Chrysogorgia chryseis,286106
Leptogorgia flexilis,286238
Narella parva,286529
Thouarella (Thouarella) undulata,743432
Thouarella (Thouarella) pendulina,286567
Olindagorgia gracilis,290926
Thouarella regularis,-999
Thouarella grandiflora,743681
Nicella flagellum,418862
Briareopsis aegeon,289533
Fannyella (Fannyella) rossii,409519
Callogorgia kinoshitae,286493
Callogorgia delta,832293
Thesea nivea,418857
Leptogorgia flammea,286237
Xenogorgia sciurus,213072
Fannyella (Cyathogorgia) spinosa,409525
Thesea granulosa,418856
Pleurogorgia militaris,290779
Fanellia corymbosa,289949
Fannyella (Fannyella) kuekenthali,409520
Callogorgia verticillata,125405
Acanthogorgia gracillima,286057
Metafannyella aurora,409516
Fannyella (Scyphogorgia) abies,743429
Metanarella nannolepis,719487
Mirostenella articulata,290361
Microprimnoa diabathra,290350
Metafannyella eos,409515
Muricella reticulata,290405
Plexaura homomalla,290797
Eunicea flexuosa,834203
Narella mesolepis,719479
Narella dampieri,719483
Narella horrida,286520
Narella hypsocalyx,719480
Narella vulgaris,719481
Narella mosaica,719482
Echinogorgia russelli,517708
Narella obscura,286526
Narella studeri,286532
Narelloides crinitus,719485
Primnoella scotiae,286549
Ophidiogorgia kuekenthali,287472
Ophidiogorgia paradoxa,173476
Paracalyptrophora josephinae,125410
Pyrogorgia lemnos,409531
Radicipes pleurocristatus,286161
Helicogorgia squamifera,520694
Rosgorgia inexspectata,290998
Paramuricea grayi,125388
Helicogorgia spiralis,520693
Solenocaulon sterroclonium,287993
Parastenella spinosa,290685
Perissogorgia vitrea,290724
Helicoprimnoa fasciola,719494
Phyllogorgia dilatata,290757
Melithaea dichotoma,746537
Perissogorgia bythia,290718
Perissogorgia colossus,290719
Perissogorgia penna,290721
Perissogorgia monile,290720
Iciligorgia boninensis,290171
Plexaurella grandiflora,290814
Plumarella diadema,716943
Plumarella delicatissima,287664
Leptogorgia hebes,177819
Primnoella chilensis,409495
Primnoeides sertularoides,287857
Primnoella divaricata,286544
Leptogorgia virgulata,158288
Leptogorgia punicea,418859
Cryogorgia koolsae,289747
Gorgoniidae,125275
Chrysogorgia flavescens,286119
Pterogorgia citrina,290925
Chrysogorgia spiculosa,286146
Primnoa wingi,286540
Gorgonia ventalina,290045
Anthogorgia aurea,288014
Alaskagorgia aleutiana,289377
Arthrogorgia utinomii,289459
Chrysogorgia arborescens,286101
Chrysogorgia pinnata,1288558
Chrysogorgia curvata,286109
Chrysogorgia monticola,1288557
Chrysogorgia delicata,286111
Swiftia simplex,1036547
Plumarella superba,574237
Thouarella trilineata,574233
Psammogorgia torreyi,290865
Swiftia spauldingi,286420
Plumarella flabellata,287667
Plumarella spicata,287675
Radicipes verrilli,-999
Thouarella cristata,574232
Anthothela pacifica,286579
Arthrogorgia kinoshitai,289457
Callogorgia flabellum,286486
Callogorgia robusta,286500
Calyptrophora laevispinosa,409579
Calyptrophora bayeri,409578
Plexaurella nutans,290819
Thelogorgia studeri,291214
Eugorgia aurantiaca,289928
Acanthogorgia hedlundi,286060
Muricea squarrosa,287577
Arthrogorgia otsukai,289458
Leptogorgia rigida,286273
Leptogorgia laxa,517734
Flagelligorgia gracilis,1062999
Kulamanamana haumeaae,715097
Aphrocallistes vastus,171632
Psilocalyx wilsoni,171808
Aulosaccus schulzei,172025
Rhabdocalyptus dawsoni,574368
Regadrella okinoseana,171875
Pheronematidae,131685
Semperella schultzei,171595
Chonelasmatinae,171658
Euretinae,171685
Farreidae,131689
Aphrocallistes beatrix,134380
Asceptrulum axialis,171732
Farrea beringiana,171738
Saccocalyx careyi,196857
Hyalascus andamanensis,605835
Poliopogon mendocino,171585
Acanthascus profundum,723596
Heterochone tenera,171639
Staurocalyptus solidus,465569
Rossellidae,131694
Euplectellidae,131692
Hexasterophora,131590
Asconema foliatum,172017
Chonelasma choanoides,171662
Leioplegma polyphyllon,171614
Tretodictyum montereyense,344896
Heterochone calyx,171636
Hyalonema (Corynonema) populiferum,171425
Rhabdocalyptus unguiculatus,465566
Rhabdocalyptus tener,465568
Staurocalyptus dowlingi,464586
Holascus undulatus,171925
Aulosaccus ijimae,172022
Acanthascus platei,189809
Acanthascinae,723592
Aphorme horrida,172014
Farrea convolvulus,171739
Staurocalyptus fasciculatus,465691
Rhabdocalyptus asper,465686
Rhabdocalyptus mirabilis,465693
Conorete mucronatum,742626
Rhabdocalyptus tenuis,178291
Farrea aculeata,-999
Lanuginellinae,171949
Conorete erectum tubuliferum,171693
Conorete erectum,171689
Hexactinella ventilabrum,171805
Tretodictyum tubulosum,134397
Conorete erectum gracile,171691
Hyalonema (Oonema) pedunculatum,171518
Bathydorus spinosissimus,172035
Aulosaccus fissuratus,172020
Rhabdocalyptus heteraster,465692
Scyphidium tuberculatum,172119
Rhabdocalyptus borealis,465688
Staurocalyptus rugocruciatus,465362
Leucopsacidae,131693
Lyssacinosida,171834
Hyalonema (Coscinonema) pateriferum,171444
Rhabdocalyptus nodulosus,465695
Farrea mexicana,171750
Caulophacus (Caulophacus) schulzei,172062
Farrea occa claviformis,171752
Hyalonema (Oonema) bianchoratum,171508
Bolosominae,171836
Euretidae,131688
Corbitellinae,171848
Walteria flemmingi,171884
Walteria leuckarti,171885
Hexactinosida,171628
Amphidiscosida,160632
Amphidiscophora,131607
Thenea muricata,134106
Heteroscleromorpha,607950
Astrangia solitaria,287125
Haliclona (Haliclona) oculata,132833
Halichondria (Eumastia) sitiens,165789
Amphilectus digitatus infundibulus,225698
Mycale (Mycale) loveni,168642
Haliclona (Reniera) aquaeductus,132775
Coelosphaeridae,131650
Geodia robusta,-999
Hymeniacidon assimilis,132643
Homaxinella amphispicula,766264
Suberites ficus,134285
Geodia mesotriaena,-999
Esperiopsis flagrum,233110
Myxilla (Myxilla) incrustans,169466
Isodictya rigida,168470
Phakellia dalli,132507
Crella brunnea,133874
Tedania (Tedania) kagalaskai,225434
Isodictya palmata,133247
Mycale (Carmia) carlilei,225435
Amphilectus digitatus,225695
Thorectidae,131627
Halichondria (Halichondria) panicea,165853
Polymastia pachymastia,170652
Demospongiae,164811
Myxilla (Burtonanchora) lacunosa,169420
Suberites domuncula,134282
Geodiidae,131664
Echinoclathria beringensis,167912
Polymastia fluegeli,195929
Polymastia pacifica,-999
Ancorinidae,131662
Pachastrellidae,131665
Weberella bursa,134232
Tentorium semisuberites,134224
Amphilectus lobatus,168344
Pseudosuberites montiniger,134257
Megaciella anisochela,233105
Polymastia boletiformis,134194
Stelodoryx oxeata,233108
Mycale (Mycale) jasoniae,233178
Monanchora laminachela,233107
Euchelipluma elongata,233109
Chondrocladia (Meliiderma) occulta,394475
Latrunculia velera,233125
Echinoclathria vasa,233106
Cladorhiza corona,195927
Discorhabdella urizae,169011
Semisuberites cribrosa,168379
Chondrocladia (Chondrocladia) gigantea,133185
Mycale (Aegogropila) adhaerens,168518
Stylocordyla borealis,134240
Cornulum clathriata,167374
Monanchora alaskensis,169015
Vulcanellidae,597265
Cladorhiza pteron,255099
Poecillastra japonica,170262
Craniella villosa,171357
Stylocordyla borealis eous,170722
Phorbas paucistylifer,169346
Poecilosclerida,131599
Haplosclerida,131598
Crambeidae,131651
Tetractinellida,597812
Esperiopsidae,168337
Microcionidae,131641
Aaptos kanuux,370514
Desmacellidae,131645
Cladorhizidae,131644
Polymastiidae,131673
Xestospongia edapha,196370
Xestospongia diprosopia,166886
Clathria (Microciona) primitiva,167677
Guitarra abbotti,168399
Haliclona (Gellius) textapatina,166566
Hymeniacidon sinapium,165916
Stelletta clarella,169914
Iophon nigricans,132971
Gastrophanella primore,171205
Coelosphaera (Coelosphaera) oglalai,225432
Artemisina amlia,225431
Melonanchora globogilva,225433
Topsentia fernaldi,165948
Mycale (Aegogropila) bamfieldensis,168524
Geodia agassizii,170096
Geodia angulata,597598
Geodia mesotriaenella,170147
Geodia bicolor,597599
Erylus sollasi,170092
Erylus rotundus cidaris,170089
Erylus rotundus megarhabdus,170090
Erylus rotundus typicus,170091
Erylus caliculatus,170061
Geodia breviana,170111
Geodia robusta var. megaclada,170171
Geodia ovis,170153
Monaxonida,815806
Clathria (Thalysias) originalis,167763
Lissodendoryx (Lissodendoryx) noxiosa,168981
Acarnus erithacus,167343
Antho (Acarnia) lithophoenix,167888
Antho (Plocamia) karykina,744396
Aplysilla polyraphis,164864
Clathria (Microciona) pennata,167672
Neopetrosia vanilla,166819
Niphates lunisimilis,166779
Trikentrion catalina,537281
Monanchora pulchra,169022
Crellidae,131652
Halichondriidae,131633
Mycalidae,131649
Poecillastra tenuilaminaris,170268
Halichondria (Halichondria) lambei,165833
Forcepia (Forcepia) hymena,168866
Craniella spinosa,171352
Rhizaxinella gadus,170824
Poecillastra rickettsi,170265
Myxilla (Ectyomyxilla) parasitica,169437
Penares cortius,169857
Clathria (Microciona) microjoanna,167662
Mycale (Paresperella) psila,168687
Tethya californiana,170942
Mycale (Mycale) toporoki,168660
Chalinidae,131636
Desmacididae,131654
Forcepia (Forcepia) macrostylosa,168871
Haliclona (Rhizoniera) rufescens,345568
Geodia acanthylastra,170095
Geodia californica,597600
Myxillidae,131658
Iophon ostiamagna,234212
Thenea lamelliformis,170300
Thenea pyriformis,170313
Thenea echinata,-999
Phakellia lamelligera,165586
Keratosa,366651
Lophelia pertusa,135161
Oculina virgosa,287103
Deltocyathus calcar,286791
Pennatula aculeata,128515
Desmophyllum dianthus,135159
Antipathes dendrochristos,283893
Madracis pharensis f. pharensis,422754
Guancha blanca,132283
Calcarea,559
Leucosolenida,131591
Leucilla nuttingi,164219
Leucandra poculiformis,164364
Leucandra heathi,164324
Sycon ciliatum,-999
Leucandra losangelensis,164341
Sycon escanabense,164576
Paragorgia arborea,125418
Paragorgia alisonae,286600
Paragorgia johnsoni,125419
Paragorgia kaupeka,286603
Paragorgia coralloides,286602
Paragorgia regalis,286605
Paragorgiidae,125281
Paragorgia splendens,286607
Paragorgia stephencairnsi,286608
Iophon cheliferum,167394
Dendropathes bacotaylorae,289796
Bathypathes conferta,589657
Antipathidae,103301
Antipatharia,22549
Leiopathes annosa,888633
Antipathes galapagensis,283898
Stauropathes staurocrada,291113
Bathypathes alternata,103319
Bathypathes patula,103323
Dendropathes intermedia,589903
Stauropathes arctica,291111
Leiopathes acanthophora,283949
Myriopathes ulex,290441
Myriopathes antrocrada,290432
Myriopathidae,266963
Stauropathes punctata,291112
Taxipathes recta,291188
Pteropathes fragilis,290943
Schizopathes amplispina,283957
Parantipathes helicosticha,283952
Schizopathes crassa,103329
Antipathes atlantica,283882
Parantipathes hirondelle,472932
Antipathes furcata,103312
Sibopathes macrospina,291049
Tanacetipathes tanacetum,291180
Lillipathes lillei,290291
Phanopathes cancellata,290730
Tanacetipathes thamnea,291182
Stylopathes adinocrada,291149
Tetrapathes alata,291204
Elatopathes abietina,289886
Plumapathes fernandezi,290830
Plumapathes pennacea,290831
Tanacetipathes hirta,291175
Stylopathes tenuispina,589751
Schizopathidae,266964
Tanacetipathes squamosa,291179
Tanacetipathes spinescens,291178
Aphanipathes pedata,283938
Acanthopathes thyoides,289313
Umbellapathes helioanthes,291268
Myriopathes japonica,290434
Bathypathes bifida,283943
Bathypathes bayeri,283942
Antipathes densa,283894
Antipathes chamaemorus,283886
Antipathes minor,283912
Leiopathes valdiviae,589775
Antipathes pauroclema,283914
Antipathes grandis,283903
Antipathella wollastoni,289448
Antipathes contorta,283889
Antipathes assimilis,283881
Phanopathes rigida,290732
Antipathes flabellum,283896
Trissopathes pseudotristicha,291243
Antipathes plana,283915
Antipathes dichotoma,103309
Antipathes sarothrum,283923
Antipathes sibogae,283925
Antipathes lenta,283909
Aphanipathidae,266960
Phanopathes expansa,290731
Antipathes speciosa,283928
Dendrobathypathes fragilis,289788
Dendrobathypathes grandis,289789
Cupressopathes abies,289759
Dendrobathypathes isocrada,289790
Leiopathes bullosa,283950
Acanthopathes undulata,289314
Trissopathes tetracrada,291244
Antipathes griggi,689198
Umbellapathes bipinnata,291267
Schizopathes affinis,283956
Parantipathes tetrasticha,283954
Distichopathes filix,289840
Stylopathes litocrada,291152
Aphanipathes salix,283939
Acanthopathes humilis,289311
Allopathes desbonni,289391
Antipathes caribbeana,283884
Tanacetipathes barbadensis,291173
Abyssopathes lyra,289303
Chrysopathes speciosa,289661
Chrysopathes oligocrada,447839
Rhipidipathes colombiana,411123
Chrysopathes micracantha,447844
Cirrhipathes spiralis,287837
Hexapathes australiensis,-999
Stylopathes columnaris,291151
Stylopathes americana,291150
Cladopathes plumosa,289670
Allopathes denhartogi,289390
Sibopathes gephura,291048
Abyssopathes lyriformis,289304
Chrysopathes formosa,289659
Chrysopathes gracilis,289660
Dendrobathypathes boutillieri,289787
Antipathes lentipinna,283910
Bathypathes seculata,283948
Trissopathes tristicha,291245
Lillipathes wingi,290293
Lillipathes ritamariae,722946
Tylopathes crispa,291261
Cupressopathes cylindrica,723661
Cupressopathes gracilis,289760
Heteropathes pacifica,723306
Myriopathes panamensis,290437
Aphanipathes verticillata,411122
Isididae,125276
Isidella tentaculum,582522
Lepidisis olapa,286334
Acanella arbuscula,125371
Acanella eburnea,286299
Acanella dispar,286298
Acanella weberi,286307
Keratoisis philippinensis,286323
Keratoisis flabellum,286312
Keratoisis grayi,125376
Keratoisis paucispinosa,286322
Lepidisis longiflora,125378
Isidella trichotoma,286310
Keratoisis grandis,286316
Lepidisis simplex,286336
Keratoisis flexibilis,125375
Lepidisis caryophyllia,125377
Mopsea flava,287458
Acanella rigida,286303
Primnoisis (Primnoisis) antarctica,869818
Primnoisis (Delicatisis) formosa,869816
Primnoisis (Delicatisis) delicatula,869814
Primnoisis (Delicatisis) gracilis,869817
Primnoisis mimas,173348
Primnoisis (Primnoisis) fragilis,869819
Mopsea encrinula,287456
Notisis elongata,290495
Paracanthoisis richerdeforgesi,290603
Orstomisis crosnieri,290532
Pteronisis plumacea,290940
Sclerisis macquariana,287473
Sphaerokodisis australis,291059
Tenuisis microspiculata,291197
Pteronisis laboutei,290938
Chelidonisis aurantiaca,125372
Acanthoisis dhondtae,289305
Primnoisis humilis,517764
Isidella elongata,-999
Echinisis spicata,173316
Stenisis humilis,291116
Chelidonisis aurantiaca mexicana,422752
Chathamisis ramosa,221133
Isis hippuris,290211
Echinisis eltanin,287451
Echinisis armata,287450
Echinisis vema,287453
Australisis sarmentosa,173430
Caribisis simplex,289573
Lepidisis nuda,286333
Keratoisis profunda,286324
Iophon piceum pacificum,167416
Carijoa riisei,395098
Funiculina parkeri,286622
Acanthoptilum album,289322
Ptilosarcus undulatus,290948
Acanthoptilum scalpelifolium,289328
Stylatula gracilis,286696
Subsessiliflorae,151539
Acanthoptilum annulatum,289323
Acanthoptilum gracile,289324
Cavernularia vansyoci,286684
Madrepora carolina,287092
Primnoa pacifica var. willeyi,409549
Primnoa pacifica,286539
Antipathes gracilis,-999
Adelopora pseudothyron,174799
Petrosia (Petrosia) pellasarca,166852
Solenosmilia australis,736240
Hydrodendron gorgonoide,117612
Pheronema annae,171558
Sporadopora dichotoma,174791
Phorbas amaranthus,169306
Sporadopora micropora,287498
Calyptopora reticulata,174810
Conopora verrucosa,231630
Podospongia india,168724
Polymastia bartletti,134193
Regadrella phoenix,134405
Rhabderemia mona,168184
Rhabdodictyum delicatum,134383
Hydroidolina,19494
Rhabdopectella tintinnus,134406
Ridleia dendyi,170679
Nodastrella nodastrella,605827
Schaudinnia rosea,134418
Dendrophyllia velata,286982
Siphonidium ramosum,134348
Smenospongia echina,574343
Stelletta crassispicula,169920
Stelletta grubii,133974
Stelletta kallitetilla,169953
Stelletta variabilis,170015
Stellettinopsis fenimorea,701612
Stellettinopsis megastylifera,701610
Sycandra utriculus,132242
Sycon barbadense,164562
Sympagella nux,134399
Thenea fenestrata,170294
Topsentia ophiraphidites,165956
Tretodictyidae,131690
Tribrachium fisheri,170033
Vetulina stalactites,171268
Clathrina cancellata,132273
Vosmaeropsis cyathus,164468
Xestospongia rampa,166899
Yucatania sphaeroidocladus,234223
Cyrtaulon sigsbeei,171796
Ecionemia demera,169806
Lissodendoryx (Ectyodoryx) acanthostylota,255133
Farrea herdendorfi,171744
Characella enae,409255
Lissodendoryx (Anomodoryx) amphispinulata,255132
Auletta tuberosa,165454
Scleraxonia,125268
Myxilla (Ectyomyxilla) methanophila,169436
Lipastrotethya rhaphoxea,165685
Lophocalyx oregoni,255094
Clathria schmitti,133044
Clathria (Microciona) calla,167625
Fangophilina submersa,171363
Leucetta floridana,174278
Myxilla (Myxilla) acribria,169441
Lychnocystis superstes,171822
Dactylocalyx pumiceus,171652
Myliusia seriata,171670
Myrmekioderma rea,166023
Pararete farreopsis,171721
Calycosoma validum,171951
Leucandra barbata,164281
Gelliodes leucosolenia,166729
Calyx podatypa,166934
Caulophacus (Caulophacus) agassizi,172050
Neopetrosia proxima,378581
Neofibularia nolitangere,168323
Ceratopsion rugosum,168164
Erylus alleni,191069
Hexactinella carolinensis,344897
Euplectella suberea,134401
Erylus trisphaerus,170094
Euplectella jovis,171902
Halicometes thyris,170915
Nucleotethya bifida,170919
Euplectellinae,171888
Swiftia farallonesica,889450
Leucandra aspera,164278
Pachastrella dilifera,170249
Hyalonema (Coscinonema) schmidti,171446
Leuconia usa,164172
Agelas oroides,132454
Aiolochroia crassa,169632
Oculina diffusa,287097
Agelas schmidtii,164842
Cornulum johnsoni,167376
Hyalonematidae,131684
Aphroceras ensata,132172
Asconema setubalense,134410
Claviscopulia facunda,171736
Arthuria canariensis,742242
Telopathes magnus,740051
Ircinia dickinsoni,165016
Iphiteon panicea,171656
Clathrina coriacea,132277
Asteropus simplex,169793
Pseudothelogorgia hartogi,290916
Parisis fruticosa,290692
Cladopathidae,266961
Muriceides furcata,286362
Adelopora crassilabrum,287500
Conopora laevis,287509
Adelopora fragilis,287501
Crypthelia lacunosa,285788
Conopora candelabrum,287506
Systemapora ornata,291171
Crypthelia stenopoma,285797
Placogorgia terceira,125396
Placotrochides minuta,287041
Conopora tetrastichopora,287511
Lepidopora granulosa,231605
Octocorallia,1341
Crypthelia cryptotrema,285776
Crypthelia curvata,285777
Crypthelia polypoma,285793
Crypthelia robusta,285796
Astya aspidopora,289481
Pseudocrypthelia pachypoma,290871
Cheiloporidion pulvinatum,289588
Chondrocladia (Chondrocladia) concrescens,168213
Scleracis pumila,-999
Briareum asbestinum,289534
Titanideum suberosum,291228
Asbestopluma (Asbestopluma) ramosa,133181
Leiopathes secunda,283951
Thesea solitaria,286447
Plumarella profunda,574234
Acanthella cubensis,165655
Paracis squamata,290625
Asteriopathes arachniformis,289461
Acanthella mastophora,132457
Auletta sycinularia,132463
Dysideidae,131624
Aaptos aaptos,134241
Antipathes simplex,283926
Stephanohelia sulfurea,856300
Acanthella vaceleti,165669
Flabellum (Flabellum) lamellulosum,287013
Aaptos pernucleata,170741
Paracis orientalis,290618
Muricella englemani,517743
Pleurogorgia plana,290780
Parantipathes euantha,472933
Radiella sol,170677
Nicella carinata,286165
Alternatipathes alternata,994319
Cliona varians,170485
Amphimedon compressa,166666
Aplysilla sulfurea,-999
Aplysina fistularis,169648
Euplexaura reticulata,287815
Pterogorgia ellisiana,1338281
Pteridopathes pinnata,290918
Gardineria simplex,287447
Placogorgia coronata,125392
Aciculites cribrophora,171175
Cladorhiza bathycrinoides,133190
Calthropella (Pachataxa) lithistina,555805
Lefroyella decora,171717
Leiodermatium pfeifferae,134345
Inferiolabiata africana,736241
Aphrocallistidae,131686
Pliobothrus gracilis,117961
Crypthelia affinis,117953
Inferiolabiata spinosa,289285
Stenohelia tiliata,285843
Crypthelia formosa,174821
Oculina profunda,287098
Crypthelia japonica,285787
Dendrobrachia sarmentosa,565323
Diplastrella bistellata,134317
Terpios lobiceps,170896
Coelosphaera (Coelosphaera) tunicata,168847
Endectyon (Endectyon) tenax,168041
Desmacella vagabunda,133221
Hamacantha (Vomerula) tenda,168436
Dactylocalyx subglobosus,171653
Discodermia inscripta,234852
Leiodermatium deciduum,171060
Scleroplegma lanterna,171832
Halicnemia verticillata,182743
Guitarra fimbriata,133226
Phakellia ventilabrum,132511
Erylus discophorus,134011
Chondrosia collectrix,-999
Myliusia conica,171668
Macandrewia clavatella,234436
Halicometes stellata,-999
Geodia thomsonii,170184
Pachastrella abyssi,134072
Eurete marshalli,171701
Characella connectens,170236
Haliclona hebes,166388
Geodia globus,134032
Aplysinidae,131660
Agelas conifera,164824
Siphonidium geminum,235133
Antho (Plocamia) gymnazusa,412839
Corallistes typus,171077
Oceanapia peltata,166984
Vulcanella horrida,597280
Siphonodictyon densum,596682
Phakellia folium,165581
Topsentia profunditatis,165959
Vazella pourtalesii,172121
Verrucocoeloidea liberatorii,762362
Craniella cranium,171330
Mycale (Oxymycale) renieroides,168675
Spongia (Spongia) plana,165231
Trichasterina sagittaria,134421
Crypthelia balia,285774
Crypthelia platypoma,285792
Crypthelia ramosa,285795
Paraerrina decipiens,290649
Stenohelia umbonata,285844
Stylaster stellulatus,285911
Crypthelia vascomarquesi,117956
Stylaster parageus columbiensis,592252
Plumarella abietina,743684
Plumarella adhaerans,287661
Thouarella (Euthouarella) typica,286573
Siphonogorgia splendens,288768
Pteroeides sagamiense,286662
Clavularia dispersa,517661
Arthrogorgia ijimai,289456
Acanthogorgia paradoxa,286075
Anthomuricea aberrans,289423
Telesto tubulosa,517890
Plumarella recta,716951
Dendronephthya oviformis,289092
Elasmogorgia ramosa,289885
Acanthogorgia fusca,286053
Plumarella alternata,716954
Pennatula fimbriata,286637
Pennatula naresi,286640
Virgularia alba,286703
Paracis spinifera,290623
Eleutherobia flava,287761
Dendronephthya magnacantha,289060
Dendronephthya nigripes,289083
Muricella abnormalis,290381
Placogorgia japonica,286400
Villogorgia brunnea,286452
Eleutherobia rigida,287764
Paracalyptrophora kerberti,286535
Chrysogorgia lata,286127
Dendronephthya acaulis,288926
Acanthoprimnoa cristata,289316
Ellisella rubra,291881
Placogorgia placoderma,286404
Caryophyllia (Acanthocyathus) spinicarens,-999
Siphonogorgia variabilis,212100
Flabellum (Ulocyathus) deludens,287007
Flabellum (Ulocyathus) marenzelleri,287017
Flabellum (Ulocyathus) japonicum,287011
Flabellum (Ulocyathus) apertum borealis,-999
Flabellum (Flabellum) patens,287021
Flabellum (Flabellum) politum,287023
Truncatoflabellum paripavoninum,287062
Flabellum (Flabellum) magnificum,287015
Truncatoflabellum incrustatum,287056
Truncatoflabellum formosum,287053
Truncatoflabellum carinatum,287049
Placogorgia dendritica,286393
Scleronephthya gracillimum,288107
Echinomuricea coronalis,287529
Keroeides koreni,290243
Villogorgia compressa,286456
Fanellia pseudoflabellum,292517
Callogorgia cristata,286483
Eunicella pendula,286199
Siphonogorgia koellikeri,288745
Clavularia expansa,517665
Bellonella petila,289514
Calyptrophora juliae,287654
Verrucella miniacea,291287
Thouarella (Euthouarella) laxa,286564
Chrysogorgia expansa,286117
Chrysogorgia excavata,286116
Chrysogorgia bracteata,286103
Pseudocladochonus hicksoni,290869
Anthogorgia bocki,288015
Scytalium martensi,288695
Thouarella (Euthouarella) moseleyi,286566
Callogorgia chariessa,286482
Chromonephthea aurantiaca,289607
Scleronephthya pustulosa,517783
Eleutherobia splendens,287767
Bellonella epedana,289511
Dendronephthya pectinata,-999
Truncatoflabellum candeanum,287048
Placogorgia foliata,286397
Heteropsammia cochlea,207501
Culicia stellata,288363
Fungiacyathus (Fungiacyathus) stephanus,287087
Fungiacyathus (Bathyactis) turbinolioides,287089
Fungiacyathus (Bathyactis) granulosus,287076
Fungiacyathus (Fungiacyathus) paliferus,287080
Fungiacyathus (Bathyactis) variegatus,287090
Fungiacyathus (Bathyactis) sibogae,287086
Notocyathus venustus,290498
Notocyathus conicus,290497
Tropidocyathus lessonii,291249
Cyathotrochus pileus,289767
Endocyathopora laticostata,289889
Sphenotrochus (Sphenotrochus) hancocki,287137
Thrypticotrochus petterdi,291221
Idiotrochus kikutii,290181
Flabellum (Ulocyathus) sexcostatum,287024
Flabellum (Ulocyathus) messum,287018
Truncatoflabellum cumingii,287051
Truncatoflabellum pusillum,287064
Placotrochus laevis,288824
Placotrochides scaphula,287042
Rhizotrochus typus,216159
Gardineria philippinensis,287446
Solenocaulon simplex,287992
Chromonephthea imaharai,289635
Oulangia stokesiana miltoni,290546
Caryophyllia (Caryophyllia) jogashimaensis,286749
Trochocyathus (Trochocyathus) decamera,286877
Aulocyathus matricidus,286721
Rhizosmilia sagamiensis,290977
Oculinidae,135078
Rhizotrochus levidensis,288450
Alatotrochus rubescens,289389
Aplysina lacunosa,169656
Truncatoflabellum aculeatum,287043
Truncatoflabellum spheniscus,287065
Truncatoflabellum gardineri,287054
Truncatoflabellum stabile,135202
Truncatoflabellum phoenix,287063
Truncatoflabellum crassum,287050
Dendrophyllia florulenta,286971
Balanophyllia (Balanophyllia) japonica,286931
Eguchipsammia wellsi,286987
Muricella grandis,290396
Madracis asanoi,287104
Caryophyllia (Caryophyllia) secta,286766
Trochocyathus (Aplocyathus) longispina,286887
Trochocyathus (Trochocyathus) semperi,286895
Trochocyathus (Trochocyathus) gardineri,286882
Ericiocyathus echinatus,289911
Deltocyathus philippinensis,286802
Rhizosmilia elata,290972
Tropidocyathus labidus,291248
Truncatoflabellum mortenseni,287060
Truncatoflabellum angustum,287045
Truncatoflabellum dens,287052
Myriopathes myriophylla,290436
